GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NO,ATL,Week
2024010700,2024-01-07,1,12,21,ATL,NO,1,10,21,0,0,(12:21) (SHOTGUN) 7-B.ROBINSON RIGHT TACKLE TO ATL 20 FOR -1 YARDS (56-D.DAVIS).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,21,OWN,0,,0,,0,159,0,0,18
2024010700,2024-01-07,1,11,42,ATL,NO,2,11,20,0,0,(11:42) 9-D.RIDDER PASS SHORT LEFT TO 7-B.ROBINSON RAN OB AT ATL 26 FOR 6 YARDS (56-D.DAVIS).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,198,0,0,18
2024010700,2024-01-07,1,11,2,ATL,NO,3,5,26,1,0,(11:02) (SHOTGUN) 9-D.RIDDER PASS DEEP RIGHT TO 16-S.MILLER TO NO 18 FOR 56 YARDS (31-J.HOWDEN).,0,2023,56,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,238,0,0,18
2024010700,2024-01-07,1,10,21,ATL,NO,1,10,82,0,0,(10:21) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 5-D.LONDON PUSHED OB AT NO 9 FOR 9 YARDS (24-J.ABRAM).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,279,0,0,18
2024010700,2024-01-07,1,9,42,ATL,NO,2,1,91,0,0,"(9:42) 7-B.ROBINSON RIGHT GUARD TO NO 2 FOR 7 YARDS (24-J.ABRAM; 56-D.DAVIS). PENALTY ON ATL-85-M.PRUITT, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT GUARD,9,OPP,1,ATL,0,UNNECESSARY ROUGHNESS,15,318,0,0,18
2024010700,2024-01-07,1,9,24,ATL,NO,1,10,83,0,0,(9:24) (SHOTGUN) 25-T.ALLGEIER RIGHT TACKLE TO NO 15 FOR 2 YARDS (96-C.GRANDERSON).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,17,OPP,0,,0,,0,336,0,0,18
2024010700,2024-01-07,1,8,49,ATL,NO,2,8,85,1,0,"(8:49) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 81-J.SMITH FOR 15 YARDS, TOUCHDOWN.",0,2023,15,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,371,0,0,18
2024010700,2024-01-07,1,8,42,ATL,NO,0,0,85,1,0,"6-Y.KOO EXTRA POINT IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,378,0,0,18
2024010700,2024-01-07,1,5,1,ATL,NO,1,10,25,0,0,(5:01) (SHOTGUN) 7-B.ROBINSON RIGHT TACKLE TO ATL 29 FOR 4 YARDS (92-T.KPASSAGNON).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,599,0,0,18
2024010700,2024-01-07,1,5,1,ATL,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,599,0,0,18
