GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DEN,MIA
2023092405,2023-09-24,1,15,0,MIA,DEN,1,10,25,0,0,(15:00) (SHOTGUN) 31-R.MOSTERT RIGHT END TO MIA 31 FOR 6 YARDS (49-A.SINGLETON; 99-Z.ALLEN).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OWN,0,,0,,0,0,0,0
2023092405,2023-09-24,1,15,0,MIA,DEN,0,0,65,1,0,"16-W.LUTZ KICKS 65 YARDS FROM DEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023092405,2023-09-24,1,14,27,MIA,DEN,2,4,31,1,0,(14:27) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 81-D.SMYTHE TO MIA 46 FOR 15 YARDS (32-D.TURNER-YELL).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,33,0,0
2023092405,2023-09-24,1,13,48,MIA,DEN,1,10,46,1,0,"(13:48) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP MIDDLE TO 10-T.HILL FOR 54 YARDS, TOUCHDOWN.",0,2023,54,SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,72,0,0
2023092405,2023-09-24,1,13,37,DEN,MIA,0,0,65,1,0,"7-J.SANDERS KICKS 65 YARDS FROM MIA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,83,0,0
2023092405,2023-09-24,1,13,37,MIA,DEN,0,0,100,1,0,TIMEOUT AT 13:37.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,83,0,0
2023092405,2023-09-24,1,13,37,MIA,DEN,0,0,85,1,0,"7-J.SANDERS EXTRA POINT IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,83,0,0
2023092405,2023-09-24,1,13,37,DEN,MIA,1,10,25,0,0,(13:37) 33-J.WILLIAMS LEFT GUARD TO DEN 27 FOR 2 YARDS (92-Z.SIELER; 55-J.BAKER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,83,0,0
2023092405,2023-09-24,1,13,1,DEN,MIA,2,8,27,0,0,(13:01) 19-M.MIMS LEFT END TO DEN 30 FOR 3 YARDS (4-K.KOHOU).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,27,OWN,0,,0,,0,119,0,0
2023092405,2023-09-24,1,12,22,DEN,MIA,3,5,30,0,0,(12:22) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE DEEP LEFT TO 14-C.SUTTON (4-K.KOHOU).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,158,0,0
