GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PIT,BAL
2023100806,2023-10-08,1,15,0,BAL,PIT,0,0,65,1,0,"9-C.BOSWELL KICKS 65 YARDS FROM PIT 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023100806,2023-10-08,1,15,0,BAL,PIT,1,10,25,0,0,(15:00) 8-L.JACKSON PASS SHORT RIGHT TO 7-R.BATEMAN PUSHED OB AT BAL 33 FOR 8 YARDS (29-L.WALLACE).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023100806,2023-10-08,1,14,26,BAL,PIT,2,2,33,0,0,(14:26) (SHOTGUN) 35-G.EDWARDS LEFT GUARD TO BAL 33 FOR NO GAIN (39-M.FITZPATRICK).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,33,OWN,0,,0,,0,34,0,0
2023100806,2023-10-08,1,13,41,BAL,PIT,3,2,33,1,0,(13:41) (SHOTGUN) 8-L.JACKSON LEFT TACKLE TO PIT 41 FOR 26 YARDS (55-C.HOLCOMB).,0,2023,26,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,33,OWN,0,,0,,0,79,0,0
2023100806,2023-10-08,1,12,58,BAL,PIT,1,10,59,0,0,(12:58) (SHOTGUN) 8-L.JACKSON PASS INCOMPLETE DEEP MIDDLE TO 4-Z.FLOWERS [95-K.BENTON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,122,0,0
2023100806,2023-10-08,1,12,53,BAL,PIT,2,10,59,0,0,(12:53) (SHOTGUN) 8-L.JACKSON PASS INCOMPLETE SHORT MIDDLE TO 89-M.ANDREWS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,127,0,0
2023100806,2023-10-08,1,12,49,BAL,PIT,3,10,59,0,0,(12:49) (SHOTGUN) 8-L.JACKSON PASS INCOMPLETE DEEP MIDDLE TO 4-Z.FLOWERS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,131,0,0
2023100806,2023-10-08,1,12,46,BAL,PIT,4,10,59,0,0,"(12:46) 11-J.STOUT PUNTS 37 YARDS TO PIT 4, CENTER-69-T.OTT, DOWNED BY BAL-25-K.SEYMOUR.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,134,0,0
2023100806,2023-10-08,1,12,36,PIT,BAL,0,0,100,1,0,TIMEOUT AT 12:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,144,0,0
2023100806,2023-10-08,1,12,36,PIT,BAL,1,10,4,0,0,(12:36) 22-N.HARRIS RIGHT GUARD TO PIT 6 FOR 2 YARDS (0-R.SMITH).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,4,OWN,0,,0,,0,144,0,0
