GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LAC,TEN
2023091707,2023-09-17,1,15,0,LAC,TEN,0,0,65,1,0,"6-N.FOLK KICKS 65 YARDS FROM TEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023091707,2023-09-17,1,15,0,LAC,TEN,1,10,25,0,0,(15:00) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE SHORT LEFT TO 25-J.KELLEY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023091707,2023-09-17,1,14,54,LAC,TEN,2,10,25,0,0,(14:54) 10-J.HERBERT PASS SHORT LEFT TO 1-Q.JOHNSTON TO LAC 32 FOR 7 YARDS (21-R.MCCREARY).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,6,0,0
2023091707,2023-09-17,1,14,11,LAC,TEN,3,3,32,0,0,(14:11) (SHOTGUN) 10-J.HERBERT SACKED AT LAC 25 FOR -7 YARDS (96-D.AUTRY).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,49,0,0
2023091707,2023-09-17,1,13,31,LAC,TEN,4,10,25,0,0,"(13:31) 16-J.SCOTT PUNTS 40 YARDS TO TEN 35, CENTER-47-J.HARRIS. 5-K.JACKSON TO TEN 40 FOR 5 YARDS (31-N.NIEMANN). PENALTY ON TEN-23-T.AVERY, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT TEN 35.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,TEN,0,OFFENSIVE HOLDING,10,89,0,0
2023091707,2023-09-17,1,13,20,TEN,LAC,1,10,25,0,0,(13:20) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 15-N.WESTBROOK-IKHINE PUSHED OB AT TEN 32 FOR 7 YARDS (27-J.JACKSON).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,100,0,0
2023091707,2023-09-17,1,12,49,TEN,LAC,2,3,32,1,0,(12:49) (SHOTGUN) 22-D.HENRY RIGHT GUARD TO TEN 37 FOR 5 YARDS (9-K.MURRAY; 3-D.JAMES).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,32,OWN,0,,0,,0,131,0,0
2023091707,2023-09-17,1,12,7,TEN,LAC,1,10,37,0,0,(12:07) (SHOTGUN) 22-D.HENRY RIGHT GUARD TO TEN 41 FOR 4 YARDS (9-K.MURRAY; 98-A.JOHNSON).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,37,OWN,0,,0,,0,173,0,0
2023091707,2023-09-17,1,11,28,TEN,LAC,2,6,41,0,0,"(11:28) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 85-C.OKONKWO TO TEN 45 FOR 4 YARDS (3-D.JAMES, 95-N.WILLIAMS). TEN-85-C.OKONKWO WAS INJURED DURING THE PLAY.",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,212,0,0
2023091707,2023-09-17,1,11,13,TEN,LAC,0,0,100,1,0,TIMEOUT AT 11:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,227,0,0
