GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,HOU
2023102900,2023-10-29,1,15,0,HOU,CAR,0,0,65,1,0,"4-E.PINEIRO KICKS 69 YARDS FROM CAR 35 TO HOU -4. 22-M.BOONE TO HOU 21 FOR 25 YARDS (41-M.FARLEY, 90-A.BARNO).",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023102900,2023-10-29,1,14,57,HOU,CAR,1,10,21,0,0,(14:57) 31-D.PIERCE RIGHT TACKLE TO HOU 22 FOR 1 YARD (99-S.TUTTLE; 40-D.JONES).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,21,OWN,0,,0,,0,3,0,0
2023102900,2023-10-29,1,14,18,HOU,CAR,2,9,22,0,0,(14:18) 31-D.PIERCE LEFT TACKLE TO HOU 29 FOR 7 YARDS (25-X.WOODS).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,22,OWN,0,,0,,0,42,0,0
2023102900,2023-10-29,1,13,51,HOU,CAR,3,2,29,0,0,(13:51) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT RIGHT TO 86-D.SCHULTZ (95-DER.BROWN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,69,0,0
2023102900,2023-10-29,1,13,47,HOU,CAR,4,2,29,0,0,"(13:47) 11-C.JOHNSTON PUNTS 52 YARDS TO CAR 19, CENTER-46-J.WEEKS, FAIR CATCH BY 11-I.SMITH-MARSETTE. PENALTY ON CAR-52-D.JOHNSON, OFFENSIVE HOLDING, 9 YARDS, ENFORCED AT CAR 19.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,29,OWN,1,CAR,0,OFFENSIVE HOLDING,9,73,0,0
2023102900,2023-10-29,1,13,40,CAR,HOU,1,10,10,0,0,(13:40) (SHOTGUN) 9-B.YOUNG SACKED AT CAR 2 FOR -8 YARDS (53-B.CASHMAN).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,80,0,0
2023102900,2023-10-29,1,13,4,CAR,HOU,2,18,2,0,0,"(13:04) (SHOTGUN) 30-C.HUBBARD LEFT END PUSHED OB AT CAR 17 FOR 15 YARDS (5-J.PITRE). PENALTY ON CAR-82-T.TREMBLE, OFFENSIVE HOLDING, 1 YARD, ENFORCED AT CAR 2 - NO PLAY.",0,2023,15,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,2,OWN,1,CAR,1,OFFENSIVE HOLDING,1,116,0,0
2023102900,2023-10-29,1,12,40,CAR,HOU,2,19,1,0,0,(12:40) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT TO 81-H.HURST.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,1,OWN,0,,0,,0,140,0,0
2023102900,2023-10-29,1,12,37,CAR,HOU,3,19,1,0,0,(12:37) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 15-J.MINGO TO CAR 6 FOR 5 YARDS (4-T.THOMAS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,1,OWN,0,,0,,0,143,0,0
2023102900,2023-10-29,1,11,59,CAR,HOU,4,14,6,0,0,"(11:59) 10-J.HEKKER PUNTS 48 YARDS TO HOU 46, CENTER-44-J.JANSEN. 3-N.DELL TO CAR 49 FOR 5 YARDS (41-M.FARLEY).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,6,OWN,0,,0,,0,181,0,0
